symbol,companyName,exchange,industry,website,description,CEO,securityName,issueType,sector,employees,address,address2,state,city,zip,country,phone
APDNW,"Applied DNA Sciences, Inc.",NASDAQ,Information Technology Services,http://www.adnas.com,"Applied DNA Sciences, Inc. engages in the provision of security solutions. It offers molecular-based technology solutions and services that can help protect products, brands, supply chains, and intellectual property of companies, governments, and consumers from theft, counterfeiting, fraud, and diversion. Its products include the following brands: Applied DNA Sciences, SigNature, molecular tags, SigNature, T molecular tags, fiberTyping, DNAnet, digitalDNA, SigNify, BackTrac, Beacon, and CertainT. The company was founded in 1983 and is headquartered in Stony Brook, NY.",James A. Hayward,Applied DNA Sciences Inc Warrants 2014-21.11.19 on Shs,wt,Technology Services,-100000,50 Health Sciences Drive,,NY,Stony Brook,11790,US,1.631.240.8800
APEI,"American Public Education, Inc.",NASDAQ,Other Consumer Services,http://www.americanpubliceducation.com,"American Public Education, Inc. engages in the provision of online and on-campus postsecondary education. It operates through the American Public Education and Hondros College of Nursing segments. The American Public Education segment reflects the operational activities of the company's subsidiary American Public University System, Inc., other corporate activities, and minority investments. The Hondros College of Nursing segment concerns health science and technology focused programs. The company was founded by James P. Etter in 1991 and is headquartered in Charles Town, WV.",Wallace E. Boston,"American Public Education, Inc.",cs,Consumer Services,1790,111 West Congress Street,,WV,Charles Town,25414,US,1.304.724.3700
APOG,"Apogee Enterprises, Inc.",NASDAQ,Building Products,http://www.apog.com,"Apogee Enterprises, Inc. engages in the design and development of glass and metal products and for enclosing commercial buildings, farming and displays. The company operates through four segments: Architectural Glass, Architectural Services, Architectural Framing Systems and Large-Scale Optical Technologies. The Architectural Glass segment fabricates glass used in customized window and curtain wall systems comprising the outside skin of commercial and institutional buildings. The Architectural Services segment provides building glass and curtain wall installation services. The Architectural Framing Systems segment designs, engineers, finishes and fabricates the aluminum frames used in customized window, curtain wall, storefront, and entrance systems. The Large-Scale Optical Technologies segment manufactures value-added glass and acrylic products for framing and display applications. Apogee Enterprises was founded in 1949 and is headquartered in Minneapolis, MN.",Joseph F. Puishys,"Apogee Enterprises, Inc.",cs,Producer Manufacturing,7000,4400 West 78th Street,,MN,Minneapolis,55435,US,1.952.835.1874
APTO,"Aptose Biosciences, Inc.",NASDAQ,Biotechnology,http://aptose.com,"Aptose Biosciences, Inc. is a clinical-stage oncology company, which engages in the discovery, research, and development of anti-cancer therapies. Its product pipeline includes APTO-253, a small molecule that induces expression of the Kruppel-Like Factor 4 genes; and CG-806 a non-covalent small molecule therapeutic agent. The company was founded on September 5, 1986 and is headquartered in Toronto, Canada.",William G. Rice,Aptose Biosciences Inc.,cs,Health Technology,24,251 Consumers Road,,ON,Toronto,M2J,CA,1.647.479.9828
APWC,Asia Pacific Wire & Cable Corp.,NASDAQ,Telecommunications Equipment,http://www.apwcc.com,"Asia Pacific Wire & Cable Corp. engages in the manufacture and distribution of telecommunications, power cable, and wire products. It operates through the following segments: North Asia, Thailand, and Rest of the World Region. The company was founded on September 19, 1996 and is headquartered in Taipei, Taiwan.",Chun Tang Yuan,Asia Pacific Wire & Cable Corp.,cs,Electronic Technology,1326,"7th Floor, No. 132, Sector 3",,Taipei,Taipei,City,TW,886.2.2714.2558
ARAY,"Accuray, Inc.",NASDAQ,Medical Specialties,http://www.accuray.com,"Accuray, Inc. is a radiation oncology company. It engages in the development, manufacture and sale of treatment solutions that includes cyberKnife and tomo therapy systems, designed to deliver radiosurgery, stereotactic body radiation therapy, intensity modulated radiation therapy, image-guided radiation therapy and adaptive radiation therapy. The company was founded by John R. Adler in 1990 and is headquartered in Sunnyvale, CA.",Joshua H. Levine,Accuray Incorporated,cs,Health Technology,947,1310 Chesapeake Terrace,,CA,Sunnyvale,94089,US,1.408.716.4600
ARCB,ArcBest Corp.,NASDAQ,Trucking,http://www.arcb.com,"ArcBest Corp. is a holding company which engages in the provision of freight transportation services and solutions. It operates through the following business segments: Asset-Based, ArcBest, and FleetNet. The Asset-Based segment includes national, inter-regional, and regional transportation of general commodities through standard, expedited, and guaranteed less-than-truckload services. The ArcBest segment refers to the operations of the company's expedite, truckload, and truckload-dedicated businesses as well as its premium logistics services; international freight transportation with air, ocean, and ground service offerings. The FleetNet segment covers the operations of FleetNet America, Inc., and certain other subsidiaries that provide roadside assistance and maintenance management services for commercial vehicles through a network of third-party service providers. The company was founded in 1966 and is headquartered in Fort Smith, AR.",Judy R. McReynolds,ArcBest Corporation,cs,Transportation,13000,8401 McClure Drive,,AR,Fort Smith,72916,US,1.479.785.6000
ARCC,Ares Capital Corp.,NASDAQ,Investment Managers,http://www.arescapitalcorp.com,"Ares Capital Corp, a business development company, invests in middle market companies located in the US with an EBITDA of $10 - $250 million. The fund targets the companies operating in the fields of business services, consumer products, Information technology services, food and beverage and healthcare services. It provides financing in the form of debt, equity and mezzanine for buyouts, acquisitions, recapitalizations, restructuring, leveraged buyouts and growth capital requirements with an investment size of $10 - $500 million. It acquires majority interest and takes a seat on the board of directors.",R. Kipp deVeer,Ares Capital Corporation,cs,Finance,1000,245 Park Avenue,,NY,New York,10167,US,1.212.710.2100
ARCI,"Appliance Recycling Centers of America, Inc. (Minnesota)",NASDAQ,Environmental Services,http://www.arcainc.com,"Appliance Recycling Centers of America, Inc. engages in the provision of turnkey appliance recycling and replacement services for utilities and other sponsors of energy efficiency programs. It operates through the Recycling, and Technology segments. The Recycling segment focuses on turnkey appliance recycling program. The Technology segment develops technology to enable low cost, location-based products and services through the use of Cell-ID technology. The company was founded by Edward R. Cameron in 1976 and is headquartered in Minneapolis, MN.",Tony Isaac,"Appliance Recycling Centers of America, Inc.",cs,Industrial Services,159,325 East Warm Springs Road,,NV,Las Vegas,89119-4238,US,1.952.930.9000
ARDX,"Ardelyx, Inc.",NASDAQ,Biotechnology,http://www.ardelyx.com,"Ardelyx, Inc. is a biopharmaceutical company, which engages in the research, development and commercialization of medicine for the treatment of renal diseases. It focuses on the formulation of programs directed toward treating gastrointestinal and irritable bowel syndrome with constipations. Its product portfolio includes tenapanor, which is an experimental medication that works exclusively in the gut and is in late-stage clinical development. The company was founded by Dominique Charmot, Peter G. Schultz, and Jean M. Frechet on October 17, 2007 and is headquartered in Fremont, CA.",Michael G. Raab,"Ardelyx, Inc.",cs,Health Technology,86,34175 Ardenwood Boulevard,Suite 200 2nd Floor,CA,Fremont,94555,US,1.510.745.1700
AREX,"Approach Resources, Inc.",NASDAQ,Oil & Gas Production,http://www.approachresources.com,"Approach Resources, Inc. engages in the exploration, development, production and acquisition of oil and gas properties. It focuses on oil and natural gas reserves in oil shale and tight sands located in the Permian Basin in West Texas. It holds interests in the East Texas Basin and the Chama Basin in Northern New Mexico. The firm operates in one business segment, the exploration and production of oil, NGLs and natural gas. The company was founded by J. Ross Craft in September 2002 and is headquartered in Fort Worth, TX.",Sergei Krylov,Approach Resources Inc.,cs,Energy Minerals,99,One Ridgmar Centre,6500 West Freeway Suite 800,TX,Fort Worth,76116,US,1.817.989.9000
ARKR,Ark Restaurants Corp.,NASDAQ,Restaurants,http://www.arkrestaurants.com,"Ark Restaurants Corp. owns and operates restaurants and bars, fast food concepts and catering operations in the U.S. It operates in New York City, Florida, Washington, D.C, Las Vegas, NV and the gulf coast of Alabama. The company was founded in January 1983 and is headquartered in New York, NY.",Michael S. Weinstein,Ark Restaurants Corp.,cs,Consumer Services,2102,85 5th Avenue,,NY,New York,10003,US,1.212.206.8800
ARLP,Alliance Resource Partners LP,NASDAQ,Coal,http://www.arlp.com,"Alliance Resource Partners LP produces and markets coal to United States utilities and industrial users. It operates through the following segments: Illinois Basin, Appalachia, and Other and Corporate. The Illinois Basin segment is comprised of Webster County coal's Dotiki mining complex, Gibson mining complex, which includes the Gibson north mine and the Gibson south project, Hopkins County coal's Elk Creek mining complex, White County coal's Pattiki mining complex, Warrior's mining complex, River View's mining complex, the Sebree property and certain properties of Alliance Resource Properties and ARP Sebree LLC. The Appalachian segment is composed of Pontiki and MC Mining complexes. The Other and Corporate segment includes marketing and administrative expenses, Mt. Vernon dock activities, coal brokerage activity, its equity investment in Mid-America Carbonates LLC and certain activities of Alliance Resource Properties. The company was founded in May 1999 and is headquartered in Tulsa, OK.",Joseph W. Craft,"Alliance Resource Partners, L.P.",cs,Energy Minerals,3599,1717 South Boulder Avenue,,OK,Tulsa,74119,US,1.918.295.7600
ARNA,"Arena Pharmaceuticals, Inc.",NASDAQ,Biotechnology,http://www.arenapharm.com,"Arena Pharmaceuticals, Inc. is a biopharmaceutical company, which engages in the discovery, development, and commercialization of novel drugs that target G protien-coupled receptors. It offers drugs for treatment in the field of cardiovascular, central nervous system, inflammatory, and metabolic diseases. The company was founded by Dominic P. Behan and Jack Lief on April 14, 1997 and is headquartered in San Diego, CA.",Amit Dilip Munshi,"Arena Pharmaceuticals, Inc.",cs,Health Technology,194,6154 Nancy Ridge Drive,,CA,San Diego,92121-9604,US,1.858.453.7200
AROW,Arrow Financial Corp.,NASDAQ,Regional Banks,http://www.arrowfinancial.com,"Arrow Financial Corp. is holding company, which through its subsidiaries, engages in the provision of banking and insurance services. It offers online and mobile banking, wealth management, money market and deposit accounts, mortgage, consumer and commercial loans, trust administration, retirement plan administration, advice to its proprietary mutual funds, and insurance products. The company was founded on March 21, 1983 and is headquartered in Glens Falls, NY.",Thomas J. Murphy,Arrow Financial Corporation,cs,Finance,516,250 Glen Street,,NY,Glens Falls,12801,US,1.518.745.1000
ARQL,"ArQule, Inc.",NASDAQ,Pharmaceuticals: Other,http://www.arqule.com,"ArQule, Inc. is a biopharmaceutical company, which engages in the research and development of therapeutics to treat cancers and rare diseases. The company discovers, develops and commercializes novel small molecule drugs in areas of unmet need that will dramatically extend and improve the lives of its patients. Its proprietary pipeline includes ARQ 531, Derazantinib, Miransertib, ARQ 751 and Derazantinib products. The company was founded in 1993 and is headquartered in Burlington, MA.",Paolo Pucci,"ArQule, Inc.",cs,Health Technology,36,One Wall Street,,MA,Burlington,01803,US,1.781.994.0300
ARTNA,Artesian Resources Corp.,NASDAQ,Water Utilities,http://www.artesianwater.com,"Artesian Resources Corp. is a holding company, which engages in the provision of water resource management. Its activities include residential, commercial water and wastewater, government and contract services, and developers. The company was founded in 1927 and is headquartered in Newark, DE.",Dian C. Taylor,Artesian Resources Corporation Class A,cs,Utilities,241,664 Churchmans Road,,DE,Newark,19702-1934,US,1.302.453.6900
ARTW,"Art's-Way Manufacturing Co., Inc.",NASDAQ,Trucks/Construction/Farm Machinery,http://www.artsway-mfg.com,"Art's-Way Manufacturing Co., Inc. manufactures and distributes farm machinery niche products. It operates through the following segments: Agricultural Products, Modular Buildings and Tools. The Agricultural Products segment manufactures a variety of specialized farm machinery under its own label, including: portable and stationary animal feed processing equipment and related attachments used to mill and mix feed grains into custom animal feed rations; a crop production line that includes grain drill equipment; a line of hay and forage equipment consisting of forage boxes, blowers, running gear, dump boxes and mergers; stalk shredders; a line of portable grain augers; a line of manure spreaders; sugar beet harvesting equipment; a line of land maintenance equipment; moldboard plows, potato harvesters, and reels for combines and swathers. The Modular Buildings segment produces and sells modular buildings, which are custom designed to meet the specific research needs of its customers. It also provides services relating to the design, manufacturing, delivering, installation and renting of the building units that it produces. The Tools segment produces and sells standard single point brazed carbide tipped tools as well as polycrystalline diamond and cubic boron nitride inserts and tools. The company was founded by Arthur Luscombe in 1956 and is headquartered in Armstrong, IA.",Carrie L. Gunnerson,"Art's-Way Manufacturing Co., Inc.",cs,Producer Manufacturing,90,5556 Highway 9,,IA,Armstrong,50514-7566,US,1.712.864.3131
ARTX,Arotech Corp.,NASDAQ,Electrical Products,http://www.arotech.com,"Arotech Corp. is a defense and security company. The company operates through two divisions: Training & Simulation Division and Power Systems Division. The Training and Simulation division develops, manufactures and market advanced high-tech multimedia and interactive digital solutions for use-of-force training and driver training of military, law enforcement, security and other personnel. The Power Systems division provides lithium and zinc-air batteries for defense and security products and other military applications. Arotech was founded by Arnold J. Goldman in 1990 and is headquartered in Ann Arbor, MI.",Dean M. Krutty,Arotech Corporation,cs,Producer Manufacturing,472,1229 Oak Valley Drive,,MI,Ann Arbor,48108,US,1.800.281.0356
ARWR,"Arrowhead Pharmaceuticals, Inc.",NASDAQ,Biotechnology,http://www.arrowheadpharma.com,"Arrowhead Pharmaceuticals, Inc. operates as a biopharmaceutical company. It develops medicines that treat intractable diseases by silencing the genes that cause them. The company was founded by R. Bruce Stewart in 1989 and is headquartered in Pasadena, CA.",Christopher Richard Anzalone,"Arrowhead Pharmaceuticals, Inc.",cs,Health Technology,116,225 South Lake Avenue,,CA,Pasadena,91101,US,1.626.304.3400
ASFI,"Asta Funding, Inc.",NASDAQ,Finance/Rental/Leasing,http://www.astafunding.com,"Asta Funding, Inc. is engages in the businesses of acquiring, managing, and recovering on portfolios of consumer receivables. It operates through the following segments: Consumer Receivables, GAR Disability Advocates, and Personal Injury Claims. The Consumer Receivables segment involves purchasing and managing for its own account, and servicing distressed consumer receivables, including judgment receivables, charged off receivables, and semi-performing receivables. The GAR Disability Advocates segment are advocacy groups which represent individuals nationwide in their claims for social security disability and supplemental security income benefits from the Social Security Administration. The Personal Injury Claims segment holds interests in personal injury claims from claimants who are a party to personal injury litigation through Pegasus Funding, LLC. The company was founded by Arthur Stern on July 7, 1994 and is headquartered in Englewood Cliffs, NJ.",Gary Stern,"Asta Funding, Inc.",cs,Finance,60,210 Sylvan Avenue,,NJ,Englewood Cliffs,07632,US,1.201.567.5648
ASMB,"Assembly Biosciences, Inc.",NASDAQ,Pharmaceuticals: Other,http://www.assemblybio.com,"Assembly Biosciences, Inc. is a biotechnology company, which engages in the development of products for infectious diseases, such as chronic hepatitis B virus and illnesses associated with a dysbiotic microbiome. It focuses in two innovative platform programs: oral therapeutics for the treatment of hepatitis B virus, and the oral synthetic live biotherapeutics candidate. The company was founded by Uri Lopatin on October 7, 2005 and is headquartered in Carmel, IN.",John G. McHutchison,"Assembly Biosciences, Inc.",cs,Health Technology,95,11711 North Meridian Street,,IN,Carmel,46032,US,1.855.971.4467
ASML,ASML Holding NV,NASDAQ,Electronic Production Equipment,http://www.asml.com,"ASML Holding NV engages in the development, production, marketing, sale and servicing of advanced semiconductor equipment, consisting of lithography related systems. It mainly caters the makers of memory chips and logic chips. The company was founded on April 1, 1984 and is headquartered in Veldhoven, Netherlands.",Peter T. F. M. Wennink,ASML Holding NV ADR,ad,Electronic Technology,23247,De Run 6501,,Noord-Brabant,Veldhoven,5504,NL,31.40.268.30.00
ASNA,"Ascena Retail Group, Inc.",NASDAQ,Apparel/Footwear Retail,http://www.ascenaretail.com,"Ascena Retail Group, Inc. engages in the retail of apparel, shoes, and accessories for women. It operates through the following segments: Premium Fashion, Value Fashion, Plus Fashion, and Kids Fashion. The Premium Fashion segment consists of products under Ann Taylor and LOFT brands. The Value Fashion segment includes specialty retail, outlet, and direct channel operations of Maurices and Dressbarn brands. The Plus Fashion segment covers the products under Lane Bryant and Catherines brands. The Kids Fashion segment comprises of products under Justice brand. The company was founded by Elliot S. Jaffe and Roslyn S. Jaffe in 1962 and is headquartered in Mahwah, NJ.",Gary Muto,"Ascena Retail Group, Inc.",cs,Retail Trade,63000,933 MacArthur Boulevard,,NJ,Mahwah,07430,US,1.551.777.6700
ASPS,Altisource Portfolio Solutions SA,NASDAQ,Finance/Rental/Leasing,http://www.altisource.com,"Altisource Portfolio Solutions SA engages in the provision of services and technology for the mortgage and real estate industries. It operates through the following segments: Mortgage Market; Real Estate Market; and Other Businesses, Corporate and Eliminations. The Mortgage Market segment offers loan servicers and originators with marketplaces, services, and technologies that span the mortgage lifecycle. The Real Estate Market segment provides real estate consumers and rental property investors with marketplaces and services that span the real estate lifecycle. The Other Businesses, Corporate and Eliminations segment includes certain ancillary businesses, interest expense and unallocated costs related to corporate support functions. The company was founded on November 4, 1999 and is headquartered in Luxembourg.",William B. Shepro,Altisource Portfolio Solutions S.A.,cs,Finance,6128,"40, avenue Monterey",,,Luxembourg,L-2163,LU,352.2469.7900
ASRV,"AmeriServ Financial, Inc.",NASDAQ,Regional Banks,http://www.ameriserv.com,"AmeriServ Financial, Inc. operates as a bank holding company, which provides consumer, mortgage and commercial financial products and services through its subsidiary. Its principal activities consist of owning and operating subsidiaries, such as AmeriServ Financial Bank, AmeriServ Trust & Financial Services Co. and AmeriServ Life Insurance. It operates through the following business segments: Retail Banking, Commercial Banking, Trust and Investment/Parent. The Retail Banking segment includes the deposit-gathering branch franchise, lending to both individuals and small businesses, and financial services. The Commercial Banking segment includes business lending, commercial loans, and commercial real-estate loans. The Trust segment contains its wealth management businesses, which include the trust company and West Chester Capital Advisors, its registered investment advisory firm. The Investment/Parent segment includes the net results of investment securities and borrowing activities, general corporate expenses not allocated to the business segments, interest expense on guaranteed junior subordinated deferrable interest debentures, and centralized interest rate risk management. The company was founded in January 1983 and is headquartered in Johnstown, PA.",Jeffrey A. Stopko,"AmeriServ Financial, Inc.",cs,Finance,321,216 Franklin Street,,PA,Johnstown,15901-1887,US,1.814.533.5300
ASRVP,AmeriServ Financial Capital Trust I,NASDAQ,Finance/Rental/Leasing,,,,Ameriserv Financial Capital Trust I 8.45 % Gtd Beneficial Unsecured Secs 1998-30.6.28 Series A,ps,Finance,-100000,,,,,,,
ASTC,Astrotech Corp.,NASDAQ,Aerospace & Defense,http://www.astrotechcorp.com,"Astrotech Corp. engages in the provision of innovative science and technology development and commercialization businesses. It operates through the Astro Scientific, and Astral segments. The Astro Scientific segment includes technology incubator that commercializes innovative technologies. The Astral segment comprises of film-to-digital conversion, high-dynamic range conversion, image enhancement, defect removal, and color correction services. The company was founded 1984 and is headquartered in Austin, TX.",Thomas Boone Pickens,Astrotech Corporation,cs,Electronic Technology,33,201 West 5th Street,,TX,Austin,78701,US,1.512.485.9530
ASTE,"Astec Industries, Inc.",NASDAQ,Trucks/Construction/Farm Machinery,http://www.astecindustries.com,"Astec Industries, Inc. designs, engineers, manufactures and markets equipment and components used primarily in road building and related construction activities as well as other products. It operates through the following segments: Infrastructure Group; Aggregate and Mining Group; Energy Group; and Corporate. The Infrastructure Group segment designs, engineers, manufactures, and markets a line of asphalt plants and their related components, asphalt pavers, screeds, milling machines, material transfer vehicles, stabilizers and related ancillary equipment. The Aggregate and Mining Group segment focuses on designing and manufacturing heavy processing equipment, as well as servicing and supplying parts for the aggregate, metallic mining, recycling, ports and bulk handling markets. The Energy Group segment supplies heavy equipment such as heaters, drilling rigs, concrete plants, wood chippers and grinders, pump trailers, storage equipment and related parts to the oil and gas, construction, and water well industries, as well as commercial and industrial burners used in commercial, industrial and process heating applications. The company was founded by J. Don Brock on August 9, 1972 and is headquartered in Chattanooga, TN.",Barry A. Ruffalo,"Astec Industries, Inc.",cs,Producer Manufacturing,1626,1725 Shepherd Road,,TN,Chattanooga,37421-2947,US,1.423.899.5898
ASUR,"Asure Software, Inc.",NASDAQ,Packaged Software,http://www.asuresoftware.com,"Asure Software, Inc. engages in the provision of workforce management software solutions and services. It offers cloud-based software-as-a-service solutions under the AsureSpace and AsureForce brands. The company was founded in 1985 and is headquartered in Austin, TX.",Patrick Francis Goepel,"Asure Software, Inc.",cs,Technology Services,564,3700 North Capital of Texas Highway,,TX,Austin,78746,US,1.512.437.2700
ASYS,"Amtech Systems, Inc.",NASDAQ,Electronic Production Equipment,http://www.amtechsystems.com,"Amtech Systems, Inc. engages in the manufacture of capital equipment. It specializes in thermal processing and wafer handling automation, and related consumables used in fabricating semiconductor devices, light-emitting diodes, silicon carbide and silicon power chips, and solar cells. It operates through the following business segments: Solar, Semiconductor, and Polishing. The Solar segment supplies thermal processing systems, including diffusion; plasma-enhanced chemical vapor deposition; atomic layer deposition; and related automation, parts and services, to the solar and photovoltaic industry. The Semiconductor segment offers thermal processing equipment including solder reflow equipment and related controls and diffusion for use by semiconductor manufacturers, and in electronics assembly for automotive and other industries. The Polishing segment produces wafer carriers, semiconductor polishing templates, double-sided lapping, and polishing machines. The company was founded by Jong S. Whang in October 1981 and is headquartered in Tempe, AZ.",Jong S. Whang,"Amtech Systems, Inc.",cs,Electronic Technology,468,131 South Clark Drive,,AZ,Tempe,85281,US,1.480.967.5146
ATAI,"ATA, Inc.",NASDAQ,Miscellaneous Commercial Services,http://www.ata.net.cn,"ATA, Inc. engages in the provision of computer-based testing services. It serves professional licensure and certification tests in various industries, which include IT services, banking, teaching, and insurance. The company was founded by Kevin Xiaofeng Ma and Walter Lin Wang in 1999 and is headquartered in Beijing, China.",Xiao Feng Ma,"ATA, Inc. Sponsored ADR",ad,Commercial Services,101,8/F Tower E,6 Gongyuan West Street Jian Guo Men Nei,,Beijing,100005,CN,86.10.65181122
ATAX,America First Multifamily Investors LP,NASDAQ,Finance/Rental/Leasing,http://www.ataxfund.com,"America First Multifamily Investors LP engages in the acquisition of a portfolio of mortgage revenue bonds that are issued by state and local housing authorities to provide construction and permanent financing for affordable multifamily and student housing and commercial properties. It operates through the following business segments: Mortgage Revenue Bond Investments, Multifamily (MF) Properties, Public Housing Capital (PHC) Fund Trusts, and Other Investments. The Mortgage Revenue Bond Investments segment consists of the partnership's portfolio of mortgage revenue bonds which have been issued t provide construction and permanent financing for the residential properties and a commercial property. The MF Properties segment consists of indirect equity interests in multifamily, student housing, and senior citizen residential properties which are not currently financed by mortgage revenue bonds held by partnership but which the partnership eventually intends to finance by such bonds through a restructuring. The Public Housing Capital Fund Trusts segment consists of the assets, liabilities and related income and expenses of the PHC Trusts. The Other Investments segment is comprised of the operations of ATAX Vantage Holdings, LLC, which holds non-controlling equity investments in certain multifamily projects and has issued property notes receivable due from other multifamily projects. The company was founded on April 2, 1998 and is headquartered in Omaha, NE.",Chad L. Daffer,"America First Multifamily Investors, L.P.",cs,Finance,-100000,1004 Farnam Street,,NE,Omaha,68102,US,1.402.444.1630
ATEC,"Alphatec Holdings, Inc.",NASDAQ,Medical Specialties,http://www.alphatecspine.com,"Alphatec Holdings, Inc. engages in the design, development, and marketing of spinal fusion technology products and solutions for the treatment of spinal disorders. It offers intra-operative information and neuromonitoring technologies, access systems, interbody implants, fixation systems, and various biologics offerings. The company was founded on March 4, 2005 and is headquartered in Carlsbad, CA.",Patrick S. Miles,"Alphatec Holdings, Inc.",cs,Health Technology,195,5818 El Camino Real,,CA,Carlsbad,92008,US,1.760.431.9286
ATHX,"Athersys, Inc.",NASDAQ,Biotechnology,http://www.athersys.com,"Athersys, Inc. engages in the discovery and development of therapies designed to extend and enhance to quality of human life. It offers MultiStem as its stem cell product which provides biological potency and therapeutic effects for distinct diseases and conditions in the cardiovascular, neurological, inflammatory, and immune disease areas. The company was founded by John J. Harrington and Gil van Bokkelen on October 24, 1995 and is headquartered in Cleveland, OH.",Gil van Bokkelen,"Athersys, Inc.",cs,Health Technology,75,3201 Carnegie Avenue,,OH,Cleveland,44115-2634,US,1.216.431.9900
ATLC,Atlanticus Holdings Corp.,NASDAQ,Finance/Rental/Leasing,http://www.atlanticus.com,"Atlanticus Holdings Corp. is a financial holding company, which engagse in the provision of financial services. It operates through Credit and Other Investments; and Auto Finance segments. The Credit and Other Investments segment includes point-of-sale and direct-to-consumer finance operations, investments in and servicing of its credit card receivables portfolios, product development, and limited investment in consumer finance technology platforms that capitalize on its credit infrastructure. The Auto Finance segment offers purchases and services loans secured by automobiles from or for a pre-qualified network of independent automotive dealers and automotive finance companies in the buy-here, pay-here used car business. The company was founded by David G. Hanna in August 1996 and is headquartered in Atlanta, GA.",David G. Hanna,Atlanticus Holdings Corp.,cs,Finance,310,Five Concourse Parkway,,GA,Atlanta,30328,US,1.770.828.2000
ATLO,Ames National Corp.,NASDAQ,Regional Banks,http://www.amesnational.com,"Ames National Corp. operates as a bank holding company. Its lending activities consist primarily of short-term and medium-term commercial and agricultural real estate loans, residential real estate loans, agricultural and business operating loans and lines of credit, equipment loans, vehicle loans, personal loans and lines of credit, home improvement loans and origination of mortgage loans for sale into the secondary market. It also offers savings and time deposits, cash management services, merchant credit card processing, safe deposit boxes, wire transfers, direct deposit of payroll and social security checks, and automated teller machine access. The company was founded on January 21, 1975 and is headquartered in Ames, IA.",John Patrick Nelson,Ames National Corporation,cs,Finance,245,405 5th Street,,IA,Ames,50010-6103,US,1.515.232.6251
ATNI,"ATN International, Inc.",NASDAQ,Major Telecommunications,http://www.atni.com,"ATN International, Inc. provides telecommunications services to rural and other under-served markets and geographies in the U.S., Bermuda and the Caribbean. It operates through the following segments: U.S. Telecom, International Telecom, and Renewable Energy. The U.S. Telecom segment offers wholesale wireless voice and data roaming services in rural markets to national, regional, local and selected international wireless carriers. The International Telecom segment caters wireless voice and data service to retail and business customers in Bermuda under the One name, in Guyana under the GT&T name and in the U.S. Virgin Islands under the Viya brand name. The Renewable Energy segment provides distributed generation solar power to corporate, utility, and municipal customers. The company was founded by Cornelius B. Prior Jr. in June 1987 and is headquartered in Beverly, MA.",Michael T. Prior,"ATN International, Inc.",cs,Communications,1700,500 Cummings Center,,MA,Beverly,01915,US,1.978.619.1300
ATOS,"Atossa Genetics, Inc.",NASDAQ,Medical Specialties,http://www.atossagenetics.com,"Atossa Genetics, Inc. operates as a clinical-stage pharmaceutical company, which focuses on the development of novel therapeutics and delivery methods for the treatment of breast cancer and other breast conditions. It offers ForeCYTE and ArgusCYTE diagnostic tests. The ForeCYTE Breast Health Test provides personalized information about the 10-year and lifetime risk of breast cancer for women between ages 18 and 65. The ArgusCYTE Breast Health Test offers information to help inform breast cancer treatment options and to help monitor potential recurrence. The company was founded by Steven C. Quay and Shu Chih Chen in December 2008 and is headquartered in Seattle, WA.",Steven C. Quay,Atossa Genetics Inc.,cs,Health Technology,4,107 Spring Street,,WA,Seattle,98104,US,1.206.588.0256
ATRA,"Atara Biotherapeutics, Inc.",NASDAQ,Biotechnology,http://www.atarabio.com,"Atara Biotherapeutics, Inc. operates as a clinical stage company which focuses on developing novel therapeutics for serious unmet medical needs, with an initial focus on muscle wasting conditions and oncology. Its product candidates are biologics targeting myostatin and activin, members of the transforming growth factor-beta, protein superfamily, which play roles in the growth and maintenance of muscle and many other body tissues. The company was founded by Isaac E. Ciechanover on August 22, 2012 and is headquartered in South San Francisco, CA.",Pascal Touchon,Atara Biotherapeutics Inc,cs,Health Technology,311,611 Gateway Boulevard,,CA,South San Francisco,94080,US,1.650.278.8930
ATRC,"AtriCure, Inc.",NASDAQ,Medical Specialties,http://www.atricure.com,"AtriCure, Inc. engages development, manufacture and sale of devices designed primarily for the surgical ablation of cardiac tissue, and systems for the exclusion of the left atrial appendage. Its products include radio Frequency (RF) ablation pacing and sensing, cryo, left atrial appendage management, soft tissue dissection, estech surgical instrumentation, and cart configuration. It operates through the following geographical segments: United States, Europe, Asia, Other International, and Total International. The company was founded by Michael D. Hooven on October 31, 2000 and is headquartered in West Chester, OH.",Michael H. Carrel,"AtriCure, Inc.",cs,Health Technology,620,7555 Innovation Way,,OH,Mason,45069,US,1.513.755.4100
ATRI,Atrion Corp.,NASDAQ,Medical Specialties,http://www.atrioncorp.com,"Atrion Corp. engages in the manufacture and development of products for medical applications. Its products include cardiac surgery vacuum relief valves, silicone vessel loops, inflation devices, stent deployment, fluid dispensing and products used in heart bypass surgery. The company involves in the fluid delivery as well as ophthalmic and cardiovascular devices. It offers pressure relief valves and inflation systems to the aviation and marine industries. Atrion was founded in 1944 and is headquartered in Allen, TX.",David A. Battat,Atrion Corporation,cs,Health Technology,570,One Allentown Parkway,,TX,Allen,75002-4211,US,1.972.390.9800
