"","symbol","week52change","week52high","week52low","marketcap","employees","day200MovingAvg","day50MovingAvg","float","avg10Volume","avg30Volume","ttmEPS","companyName","sharesOutstanding","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","nextEarningsDate","exDividendDate","peRatio","beta","ttmDividendRate","nextDividendDate","dividendYield"
"192","NUO",0.132698,16.15,13.05,NA,NA,14.56,15.43,NA,19223.2,27541.07,NA,"Nuveen Ohio Quality Municipal Income Fund",0,-0.153448,-0.063573,-0.017345,0.139963,0.14758,0.085146,0.032592,-0.014158,-0.009109,-0.022271,NA,NA,NA,-0.000989360329524731,NA,NA,NA
"193","NPN",0.085781,16.48,11.96,17183150,NA,13.7,14.82,1215216.828,1813.6,1768.1,0.5736,"Nuveen Pennsylvania Municipal Value Fund",1223000,-0.093937,-0.069767,-0.106732,0.062784,0.1249,0.050075,0.003571,-0.078689,-0.063957,-0.014727,NA,NA,24.49,0.00546150516431201,0.501,NA,0.0356583629893238
"194","NQP",0.097852,14.31,12.02,NA,NA,13.28,14.03,NA,103962.5,80754.57,NA,"Nuveen Pennsylvania Quality Municipal Income Fund",0,-0.125897,-0.031092,0.009036,0.100478,0.12013,0.058282,0.008772,-0.02616,-0.020582,-0.024735,NA,NA,NA,-0.0160019804782771,NA,NA,NA
"195","JPC",0.071121,10.11,7.8,NA,NA,9.44,9.86,NA,207176.8,222769.17,NA,"Nuveen Preferred Income Opportunities Fund",0,-0.351765,0.018848,-0.046078,0.069968,0.168038,0.036496,0.0174,0.028986,0.007092,-0.006,NA,NA,NA,0.266035014051399,NA,NA,NA
"196","JPS",0.105323,9.99,7.32,1988892800,NA,9.13,9.71,203774497.94,372023.8,441974.2,-0.3065,"Nuveen Preferred & Income Securities Fund",203780000,-0.376494,0.050336,-0.053427,0.112187,0.169461,0.080199,0.05113,0.011917,-0.003571,-0.010638,NA,NA,-31.84,0.273859640693917,0.696,NA,0.0713114754098361
"197","JPT",0.054404,25.45,20.3,NA,NA,23.2,24.3,NA,18369.9,15041.27,NA,"Nuveen Preferred & Income 2022 Term Fund",0,-0.052209,-0.052209,-0.066456,0.059385,0.158444,0.057143,0.021757,0.008258,0.016653,-0.013333,NA,NA,NA,0.0996675513776784,NA,NA,NA
"198","JPI",0.062311,24.85,18.92,558684350,NA,22.77,24.13,22755998.692,56489.7,48608.6,-0.8373,"Nuveen Preferred & Income Term Fund",22757000,-0.053579,0.011711,-0.054712,0.063231,0.205204,0.083885,0.047802,0.016563,0.007386,0.006973,NA,NA,-29.32,0.306160498099986,1.65,NA,0.0672097759674134
"199","NAD",0.079816,14.67,12.24,2840226480,NA,13.59,14.38,201856934.76,720629.6,491353.93,-0.2969,"Nuveen Quality Municipal Income Fund",201864000,-0.0778,-0.010079,-0.006503,0.086486,0.105263,0.056306,0.019565,-0.029655,-0.021558,-0.030992,NA,NA,-47.39,0.0133839113105878,0.717,NA,0.0509594882729211
"200","JRI",0.050214,17.48,13.1,NA,NA,15.91,16.91,NA,85081.9,77829.77,NA,"Nuveen Real Asset Income & Growth Fund",0,-0.189095,-0.154849,-0.075299,0.056685,0.247273,0.092357,0.037508,0.023881,0.018409,0.006455,NA,NA,NA,0.46718229213517,NA,NA,NA
"201","JRS",0.052475,11,8.02,NA,NA,10.13,10.69,NA,66131.4,50128.43,NA,"Nuveen Real Estate Income Fund",0,-0.347355,-0.065693,-0.087344,0.055611,0.27458,0.048323,0.009497,0.004726,-0.00747,-0.025665,NA,NA,NA,0.460785005661745,NA,NA,NA
"202","BXMX",-0.084793,14.6,10.9,1354557080,NA,12.98,13.05,103716547.948,154828.1,173559.87,-0.7627,"Nuveen S&P 500 Buy-Write Income Fund",103718000,-0.336491,0.035798,-0.043822,-0.076379,0.069615,0.004615,0.002302,0.021909,0.000766,-0.000765,NA,NA,-17.12,0.683181520761517,0.98,NA,0.0750382848392037
"203","SPXX",-0.042012,17.08,12.81,NA,NA,15.58,16.37,NA,26397.2,31035.4,NA,"Nuveen S&P 500 Dynamic Overwrite Fund",0,-0.2115,0.086837,0.024691,-0.041445,0.13614,0.047896,0.025982,-0.019976,-0.012805,-0.015805,NA,NA,NA,0.726154003347301,NA,NA,NA
"204","NIM",0.066946,10.66,9.31,NA,NA,10.12,10.43,NA,23926.6,23526.53,NA,"Nuveen Select Maturities Municipal Fund",0,0.060133,0.008083,0.034791,0.068063,0.05919,0.033435,-0.007782,-0.022052,-0.026718,-0.017341,NA,NA,NA,0.00159585222844969,NA,NA,NA
"205","NXP",0.12037,16.23,13.63,NA,NA,14.88,15.62,NA,60411.6,44158,NA,"Nuveen Select Tax-Free Income Portfolio",0,0.068327,0.090051,0.048184,0.124375,0.094642,0.090846,0.03283,-0.0038,0.007042,-0.015645,NA,NA,NA,0.0328565269271714,NA,NA,NA
"206","NXQ",0.091729,15.08,13.04,257207280,NA,14.01,14.53,NA,33687.6,29554.1,0.104,"Nuveen Select Tax-Free Income Portfolio 2",17714000,0.056632,0.055845,0.031273,0.08764,0.069219,0.058309,0.012552,-0.011572,-0.002062,-0.010899,NA,NA,139.62,-0.00324266630971186,0.504,NA,0.0347107438016529
"207","NXR",0.09325,16.28,13.9,204952660,NA,15.03,15.77,12507891.638,15051.3,20362.93,0.1063,"Nuveen Select Tax-Free Income Portfolio 3",13046000,0.155146,0.075823,0.032967,0.10014,0.076027,0.082702,0.022786,-0.008207,0.002553,-0.019351,NA,NA,147.79,-0.0402868571856984,0.522,NA,0.0332272437937619
"208","NSL",-0.069805,6.2,5.3,NA,NA,5.81,5.79,NA,134436.6,121734.7,NA,"Nuveen Senior Income Fund",0,-0.243038,-0.148148,-0.130814,-0.066775,0.026882,-0.046589,-0.027165,0.008803,-0.02385,0.005263,NA,NA,NA,0.156257569168976,NA,NA,NA
"209","JSD",-0.10232,17.31,13.53,NA,NA,15.43,15.24,NA,34102.6,33632.67,NA,"Nuveen Short Duration Credit Opportunities Fund",0,-0.193467,-0.131963,-0.107838,-0.094781,0.037113,-0.056875,-0.021401,-0.002644,-0.012435,-0.006583,NA,NA,NA,0.263842911535099,NA,NA,NA
"210","NBB",0.055717,22.98,18.7,745109050,NA,20.6,21.79,34194692.245,89461.5,96771.17,0.7523,"Nuveen Taxable Municipal Income Fund",34195000,0.034,0.031643,-0.009579,0.066125,0.119158,0.094425,0.038113,-0.009545,0.01396,-0.028533,NA,NA,28.96,-0.0568136058350698,1.2361,NA,0.0567278568150528
"211","JTD",-0.039451,17.91,12.43,NA,NA,15.83,16.57,NA,42224.1,30601.27,NA,"Nuveen Tax-Advantaged Dividend Growth Fund",0,-0.17941,0.039241,0.047194,-0.021549,0.236203,0.042184,0.039604,0.040389,0.020656,-0.010018,NA,NA,NA,0.72658308818291,NA,NA,NA
"212","JTA",-0.166667,13.74,9.25,NA,NA,11.35,11.24,NA,32490.7,30393.43,NA,"Nuveen Tax-Advantaged Total Return Strategy Fund",0,-0.3985,-0.159329,-0.045995,-0.166667,0.09375,-0.048428,0.009009,0.03321,-0.007092,0.012658,NA,NA,NA,0.67751293307849,NA,NA,NA
"213","NTX",0.11271,14.72,12.12,NA,NA,13.4,14.11,NA,23401.9,22730.83,NA,"Nuveen Texas Quality Municipal Income Fund",0,-0.082996,-0.031361,-0.048246,0.118072,0.1136,0.048983,0.022026,-0.026573,-0.021785,-0.023843,NA,NA,NA,-0.0125964373146399,NA,NA,NA
"214","NPV",0.137124,14.08,11.33,NA,NA,12.7,13.45,NA,24659.7,25240.5,NA,"Nuveen Virginia Quality Municipal Income Fund",0,-0.206116,-0.017411,-0.017411,0.137249,0.145033,0.096011,0.051218,-0.01008,0.006028,-0.003553,NA,NA,NA,0.0340157230385394,NA,NA,NA
"215","NIQ",0.070973,13.89,11.81,NA,NA,13.05,13.61,NA,35833.4,25999.33,NA,"Nuveen Intermediate Duration Quality Municipal Term Fund",0,-0.119192,0.029111,0.015528,0.074383,0.072684,0.04595,0.011295,-0.019708,-0.011046,-0.018992,NA,NA,NA,-0.0220038114807381,NA,NA,NA
"216","JMT",-0.024826,24.1,21.65,NA,NA,22.45,22.41,NA,11293.2,11732.57,NA,"Nuveen Mortgage Opportunity Term Fund 2",0,-0.323432,-0.034261,-0.061199,-0.034914,0.031322,0.004036,0.000447,0.002687,-0.000892,0.002216,NA,NA,NA,0.00548112268336084,NA,NA,NA
"217","NVT",-0.215065,29.65,19.28,3771242200,9000,24.53,22.44,167920224.274,1364375.3,1226446.03,1.4302,"nVent Electric Plc",169114000,0.066275,0.066275,0.066275,-0.218914,-0.009329,-0.181952,-0.070058,0.063424,0.033843,0.025759,"2019-10-21","2019-07-18",15.59,1.19116198025144,0.7,NA,0.031390134529148
"218","NVR",0.382998,3770,2040.71,13249659249,5600,3021.93,3508.03,3278934.36661,24601.7,23345.93,229.1113,"NVR, Inc.",3655270,8.690567,2.017893,0.522617,0.382998,0.497348,0.313308,0.056796,0.03569,0.064777,-0.03756,"2019-10-17",NA,15.82,0.605747531935128,NA,NA,NA
"219","OAK",0.312776,53.69,38.7,8540436121,978,47.1,51.3,72227446.122,1752071.8,999019.97,3.0109,"Oaktree Capital Group LLC",75842000,0.173626,-0.02451,0.105556,0.312776,0.330428,0.082675,0.089075,0.033462,0.053846,0.006783,"2019-11-04","2019-05-03",17.75,0.326783243953452,3.05,NA,0.057084035186225
"220","OSLE",0.007905,25.9,23.11,3594505500,NA,25.32,25.58,NA,2895.1,3011.17,NA,"Oaktree Specialty Lending Corp.",0,1.651896,0.032587,0.011225,0.007519,0.024096,0.010613,0.00042,-0.006735,-0.007373,4e-06,NA,NA,NA,0.0703390343531846,NA,NA,NA
"221","OMP",-0.27958,23.19,14.26,532947150,105,19.27,18.35,10506105.67,115191.2,185712.43,2.7487,"Oasis Midstream Partners LP",20045000,0.164776,0.164776,0.164776,-0.27958,-0.085797,-0.242919,-0.176501,-0.006927,-0.257882,0.020712,"2019-11-05","2019-08-15",5.74,0.634124187842861,1.76,NA,0.111604311984781
"222","OAS",-0.695581,14.57,2.41,1197360120,727,5.38,3.88,278524632.43,12498442.1,13236090.43,0.6781,"Oasis Petroleum, Inc.",321871000,-0.625,-0.884877,-0.539604,-0.695581,-0.32852,-0.37479,-0.225,0.223684,-0.124706,0.01087,"2019-11-05",NA,5.49,2.01539434751552,NA,NA,NA
"223","OBE",-0.850698,7.14,0.8902,68645929,286,2.012,1.0413,63306930.564,234317,179562.77,-3.7266,"Obsidian Energy Ltd.",72981000,-0.991812,-0.967222,-0.802065,-0.850698,-0.696404,-0.539193,-0.152613,-0.216167,-0.0594,-0.086796,"2019-11-07",NA,-0.25,1.17713821140718,NA,NA,NA
"224","OXY",-0.418943,83.35,41.82,40332103200,11000,57.91,47.55,892930760.64,8633365,10381854.23,5.0616,"Occidental Petroleum Corp.",894480000,2.923231,-0.389276,-0.030198,-0.418943,-0.272742,-0.327115,-0.09476,0.011667,-0.118992,0.002668,"2019-10-28","2019-09-09",8.91,0.960109634804811,3.12,NA,0.0691949434464404
"225","OII",-0.418504,28.44,10.74,1461196100,8600,16.04,15.11,97483841.26,1084449.3,1111868,-1.9276,"Oceaneering International, Inc.",98930000,2.589931,-0.72948,-0.250096,-0.418504,0.168513,-0.124481,-0.162698,0.223695,0.026407,0.002716,"2019-10-30","2017-08-23",-7.66,1.61129327272109,NA,NA,NA
"226","OCN",-0.509901,4.27,1.2,266500080,7200,1.81,1.83,102681000.268,391054.3,432828.27,-1.3244,"Ocwen Financial Corp.",134596000,-0.447284,-0.945443,-0.302419,-0.509901,0.455882,-0.014925,0.185629,0.356164,0.1,0.036649,"2019-10-31",NA,-1.5,1.00745644475775,NA,NA,NA
"227","OFG",0.357704,24.95,14.42,1153767090,1392,19.91,21.83,50720823.335,284890.7,256948.93,1.7732,"OFG Bancorp",51347000,0.147136,0.175599,0.793043,0.357704,0.351173,0.10963,0.116244,0.093431,0.052459,0.04076,"2019-10-24","2019-09-27",12.67,0.951283811980501,0.27,"2019-09-27",0.0120160213618158
"228","OGE",0.177968,44.48,35.29,8797735200,2292,41.95,42.97,199777649.76,1137401.4,1083902.5,2.0371,"OGE Energy Corp.",200176000,3.622715,0.142075,0.225257,0.177968,0.148719,0.025671,0.02591,0.019722,0.019722,0.022093,"2019-11-07","2019-04-09",21.57,0.279495001816057,1.46,NA,0.0332195676905574
"229","OIBR.C",-0.440909,3.45,0.8253,NA,72944,1.83,1.62,1141730117.17249,1574749.6,3757766.17,-2.6346,"Oi SA",NA,-0.992185,-0.953833,-0.585192,-0.441544,-0.267857,-0.465217,-0.301136,0.033613,-0.372449,-0.145833,"2019-11-13",NA,-0.47,0.92094402118816,NA,NA,NA
"230","OIS",-0.489439,34.66,11.73,936058760,3926,16.68,14.32,56182162.064,468264,505959,-0.724,"Oil States International, Inc.",60508000,0.6159,-0.798581,-0.347635,-0.489439,0.016426,-0.053244,-0.086237,0.132504,0.092514,0.027907,"2019-11-01",NA,-21.37,1.80424710679982,NA,NA,NA
"231","ODC",-0.090121,39.2,24.25,263282817,775,30.38,32.76,5066144.866,5148,6275.4,1.6672,"Oil-Dri Corp. of America",5351000,2.986083,0.013586,-0.195183,-0.090121,0.260189,0.050349,0.173898,0.058051,0.003768,0.073466,NA,"2019-08-15",20.77,0.999290345350601,0.96,NA,0.0277216286456829
"232","ORI",0.007117,23.81,19.55,6864470640,9000,21.75,22.75,284945570.991,1410876.4,1534249,2.4955,"Old Republic International Corp.",303201000,0.524421,0.327986,0.110835,0.007117,0.122459,0.07197,0.002213,0.014792,0.003101,0.012975,"2019-10-24","2019-09-05",9.07,0.815783375511593,0.79,NA,0.0348939929328622
"233","OLN",-0.342528,29.38,15.38,3093731340,6500,21.63,18.73,163154650.218,3018373.3,2884176.93,1.6221,"Olin Corp.",164298000,0.133803,-0.2525,-0.29576,-0.342528,-0.089458,-0.204814,-0.132258,0.143291,0.020043,0.023926,"2019-11-04","2019-08-08",11.61,1.33510103196408,0.8,NA,0.042485395645247
"234","OHI",0.224539,41.67,31.69,8845151320,51,37.16,38.49,216209377.024,1553885.5,1885819.2,1.2765,"Omega Healthcare Investors, Inc.",218291000,14.408696,-0.008394,0.098574,0.224539,0.19352,0.12932,0.083133,0.033146,0.107709,-0.020309,"2019-10-30","2019-07-30",31.74,0.445409727262392,2.64,NA,0.0651530108588351
"235","OMC",0.148653,85.05,65.85,17430198120,70400,77.47,79.39,215720290.992,1867981,1550516.57,5.9747,"Omnicom Group, Inc.",217524000,1.936139,0.219672,-0.041801,0.148653,0.102049,0.074417,0.004135,0.0393,0.019855,0.021155,"2019-10-14","2019-09-19",13.41,0.729855676836011,2.5,"2019-09-19",0.0311993011356546
"236","OMN",-0.00198,10.7,5.48,452118240,1900,8,10.02,44418195.018,274457.5,407871.57,0.1337,"OMNOVA Solutions, Inc.",44853000,1.446602,-0.157191,-0.155307,-0.00198,0.373297,0.326316,0.81295,0.000993,0.013065,0,"2019-09-23",NA,75.39,0.901031426197768,NA,NA,NA
"237","ONDK",-0.519104,8.99,2.88,278498650,587,5.15,3.56,55865608.374,546753.3,482284.8,0.4506,"On Deck Capital, Inc.",76301000,-0.824875,-0.824875,0.134259,-0.519104,-0.382403,-0.361888,-0.105392,0.119632,0.025281,0.022409,"2019-11-06",NA,8.1,1.02371595743539,NA,NA,NA
"238","OGS",0.106918,93.04,75.51,4826307200,3500,87.11,90.61,51846889.865,229581.7,187994.67,3.392,"ONE Gas, Inc.",52735000,1.673112,1.420793,0.279537,0.106918,0.193687,0.026009,0.005604,0.003509,0.006046,0.030863,"2019-10-28","2019-08-09",26.98,0.346345120071253,1.92,NA,0.020979020979021
"239","OLP",-0.025874,31.78,23.02,553968240,9,27.93,27.96,15300340.32,40176.8,39139.03,0.9117,"One Liberty Properties, Inc.",19884000,0.744512,0.283535,0.19657,-0.025874,0.190598,-0.048172,-0.10042,0.007231,-0.03163,0.032234,"2019-11-07","2019-09-24",30.56,0.508718377412365,1.8,"2019-09-24",0.0646087580760948
"240","OMF",0.131487,43.28,22.47,5281769330,10200,32.53,37.16,87188116.543,637030.6,641785.7,4.8702,"OneMain Holdings, Inc.",136093000,0.798027,0.430401,0.462416,0.131487,0.578284,0.136457,0.231282,0.02672,-0.053645,0.013051,"2019-11-15","2019-08-26",7.97,1.30300062821113,0.5,NA,0.0128832775057975
"241","OKE",0.095778,74.97,50.26,30757856640,2684,66.16,69.95,409898821.824,1888521.4,1960629.57,3.0436,"ONEOK, Inc.",412968000,6.151188,0.024919,0.297414,0.095778,0.368866,0.089367,0.149205,0.074747,0.049162,0.010995,"2019-11-04","2019-08-05",24.47,0.941599660265307,3.405,NA,0.0457169709989259
"242","ONE",-0.150289,9.78,6.71,NA,11700,8.03,7.71,72097248.5115453,91724.9,141660.9,0.2213,"OneSmart International Education Group Ltd",NA,-0.248148,-0.248148,-0.248148,-0.150289,-0.100367,-0.160959,-0.091471,0.038136,-0.082397,-0.014745,"2019-10-31",NA,33.21,0.482382747180541,NA,NA,NA
"243","OOMA",-0.242553,17.5,9.85,262906000,684,13.36,11.98,18833775.6,103297.9,78153.57,-0.818,"Ooma, Inc.",21100000,0.272146,0.272146,0.16569,-0.242553,-0.116938,-0.124385,0.051477,0.012185,-0.03858,0.028902,"2019-11-26",NA,-15.23,1.15558994295321,NA,NA,NA
"244","OPY",0.000647,33.86,23.51,397507520,2976,26.93,28.36,9140796.528,49391,48801.33,2.8174,"Oppenheimer Holdings, Inc.",12756000,0.194619,0.133135,0.567059,0.000647,0.223101,0.106657,0.168998,0.138858,0.11786,0.081119,"2019-10-25","2019-08-08",10.97,0.920451213737854,0.44,NA,0.0142302716688228
"245","ORCL",0.092924,60.5,42.4,179300325000,136000,52.65,55.41,2189992516.56,14810853.7,11864878.7,3.1543,"Oracle Corp.",3335820000,4.097584,0.33585,0.203907,0.092924,0.188633,0.005425,0.011669,0.002986,-0.037428,-0.014485,"2019-12-18","2019-10-09",17.04,0.98432489123742,0.86,"2019-10-09",0.016
"246","ORAN",-0.037154,17.06,14.57,NA,150711,15.57,14.97,2652755787.9344,442728.7,457039.67,0.9478,"Orange SA",NA,-0.319158,-0.067827,-0.050733,-0.037154,-0.048538,-0.051489,-0.012912,0.025486,0.028937,0.028245,"2019-10-29","2019-12-02",16.13,0.324139288470337,NA,"2019-12-02",NA
"247","ORC",-0.25133,7.55,5.04,354995709,NA,6.49,6.12,62849751.8508,914031.9,916721.1,-0.2841,"Orchid Island Capital, Inc.",63054300,-0.558108,-0.486253,-0.379507,-0.25133,-0.120312,-0.1793,-0.118936,-0.075534,-0.081566,0.054307,"2019-10-28","2019-09-27",-19.82,0.530095591101148,0.97,"2019-09-27",0.172291296625222
"248","OEC",-0.470279,33.36,12.1,1030227320,1437,21.1,16.05,58873065.756,343382.6,563010.27,1.4774,"Orion Engineered Carbons SA",60212000,0.176901,0.176901,0.117112,-0.470279,-0.329545,-0.157972,-0.112552,0.337764,0.109598,0.104584,"2019-10-31","2019-09-19",11.58,1.28278649290322,0.8,"2019-09-19",0.0467562828755114
"249","ORN",-0.34355,8.28,1.8,151887000,1683,3.63,4.14,27688084.05,198256.8,173810.3,-3.872,"Orion Group Holdings, Inc.",29550000,-0.823418,-0.748195,-0.632411,-0.34355,0.155056,0.212264,1.254386,0.192575,0.105376,0.178899,"2019-10-31","2015-03-24",-1.33,0.975096438826074,NA,NA,NA
"250","IX",-0.016489,84.5,67,NA,31890,73.34,73.93,256294412.4811,34066,48031.87,11.0067,"ORIX Corp.",NA,1.707544,-0.058388,-0.099228,-0.016489,0.091497,0.129092,0.103338,0.12048,0.101653,0.031868,"2019-10-31",NA,7.21,0.791903754276484,NA,NA,NA
"251","ORA",0.309831,74.75,49,3675503360,1346,59.8,68.2,45791835.84,234239.3,187262,1.7481,"Ormat Technologies, Inc.",50992000,2.738992,1.197674,0.019666,0.309831,0.393928,0.305088,0.172986,-0.01557,0.099283,0.00783,"2019-11-05","2019-08-19",41.23,0.766201143721843,0.42,NA,0.00582685904550499
"252","OSK",0.045879,86.45,51.42,5285565600,15000,75.09,76.37,67622273.29,527957.9,528998.97,8.1939,"Oshkosh Corp.",68395000,4.210738,0.479912,0.209011,0.045879,0.255157,0.012711,-0.027068,0.112743,0.012977,0.033708,"2019-10-31","2019-08-16",9.43,1.44694681562362,1.05,NA,0.0135869565217391
"253","OR",0.536716,13.43,7,1645607720,40,10.56,11.99,123697372.792,957743.3,904677.57,-0.6851,"Osisko Gold Royalties Ltd.",142972000,-0.340645,-0.340645,-0.03408,0.536716,0.294713,0.009649,0.076707,-0.052675,-0.047974,-0.058101,NA,"2019-09-27",-16.8,-0.439659474089753,0.151098252845459,"2019-09-27",0.0131275632359217
"254","OUT",0.351473,28.41,16.81,3880267940,2305,23.66,27.04,142455859.756,1421317.6,1076185.53,1.1245,"OUTFRONT Media, Inc.",143342000,-0.187458,-0.193201,0.019566,0.351473,0.493105,0.209022,0.046386,-0.010238,0.00632,0.01576,"2019-11-11","2019-09-05",24.07,0.992799810363633,1.44,NA,0.0531954192833395
"255","OSG",-0.483384,3.63,1.46,146493990,1061,1.88,1.79,75898964.564,271768.9,285666.2,0.093,"Overseas Shipholding Group, Inc.",85669000,-0.901042,-0.901042,-0.411765,-0.483384,0.017857,-0.329412,0.036364,0.005882,-0.104712,-0.017241,NA,"2016-03-16",18.39,1.27406482365736,NA,NA,NA
"256","OMI",-0.63306,17.37,2.43,394117080,17900,4.91,4.31,60603307.842,2668020.9,1968748.9,-4.7837,"Owens & Minor, Inc.",62958000,-0.678632,-0.883986,-0.882756,-0.63306,-0.038402,0.378855,1.173611,0.288066,1.173611,-0.15747,"2019-10-31","2019-09-13",-1.31,0.709222532956898,0.34,"2019-09-13",0.0543130990415336
"257","OC",0.027142,61.08,40.64,6546014640,20000,51.28,56.37,106951565.736,2604841.8,1643408.9,4.691,"Owens Corning",108792000,1.013846,0.315578,-0.150689,0.027142,0.368433,0.257997,0.222471,0.086493,0.072358,0.041905,"2019-10-23","2019-07-15",12.83,0.991209162676066,0.87,NA,0.0144590327405684
"258","OI",-0.443182,20.78,9.58,1675826460,26500,17.08,13.23,153796874.697,2413777.7,2340801.03,1.6214,"Owens-Illinois, Inc.",155457000,0.952432,-0.437558,-0.162726,-0.443182,-0.389235,-0.459649,-0.363636,0.013158,-0.129241,-0.010101,"2019-10-28","2019-08-29",6.65,1.27098739024291,0.1,NA,0.00927643784786642
"259","ORCC",0.058102,16.62,15.02,6288679100,NA,15.84,15.84,376792788.56,186571.1,178319.1,0.9028,"Owl Rock Capital Corp.",383690000,NA,NA,NA,0.058102,0.058102,0.058102,0.058102,0.045281,0.029523,0.021184,"2019-11-27",NA,18.15,0.0512245583394796,NA,NA,NA
"260","OXM",-0.192992,93.52,63.5,1258214670,6100,74.54,70.03,16481420.847,285470.1,205122.83,4.1864,"Oxford Industries, Inc.",17019000,5.576,0.299399,0.409707,-0.192992,0.01832,-0.038121,-0.004578,0.119134,0.060232,-0.018194,"2019-12-02","2019-10-17",17.66,0.990907262682661,1.22,"2019-10-17",0.0165020965778439
"261","ROYT",-0.237548,2.95,1.48,76780484,NA,2.03,2.13,38536858.2104,223247.2,142197.2,0.3267,"Pacific Coast Oil Trust",38583158,-0.887,-0.828917,0.221622,-0.237548,0.156977,-0.061321,-0.047847,-0.052381,-0.095455,-0.014851,"2019-11-05","2019-08-30",6.09,0.715784267356127,0.31815,NA,0.159874371859296
"262","PACD",-0.551648,16,3.66,458920440,722,12.39,7.28,66997360.111,187832.3,164783.3,-67783.4939,"Pacific Drilling SA",74987000,0.106227,0.106227,0.106227,-0.551648,-0.560976,-0.594702,-0.516969,0.339168,-0.238806,0.028571,"2019-11-11",NA,0,0.150437654939702,NA,NA,NA
"263","PCG",-0.761213,49.42,5.07,5916724320,24000,18.41,15.56,518093360.832,8196070.2,9102717.47,-16.7223,"PG&E Corp.",529224000,0.569118,-0.522702,-0.68135,-0.761213,-0.530252,-0.424601,-0.407839,-0.217087,-0.398925,-0.000894,"2019-11-01","2017-09-28",-0.67,0.791021703375791,NA,NA,NA
"264","PKG",-0.060593,118.88,77.9,10258629310,15000,96.39,100.73,93292374.423,822102.8,810935.8,8.3637,"Packaging Corporation of America",94663000,4.620922,0.492756,-0.013523,-0.060593,0.281727,0.110804,0.160278,0.070004,0.070321,0.078094,"2019-10-21","2019-09-12",12.96,1.08709901850083,3.16,NA,0.0291593614468949
"265","PD",-0.216993,59.82,26.98,2284765700,NA,44.45,39.8,26679655.352,1537951.4,873307.87,-0.6132,"PagerDuty, Inc.",76286000,0.282092,0.282092,0.282092,-0.216993,-0.216993,-0.216993,-0.458115,-0.13639,-0.240426,0.060177,"2020-01-01",NA,-48.84,-0.286242067867421,NA,NA,NA
"266","PAGS",0.712206,53.43,17.02,15040332235,NA,32.04,46.77,161711581.775718,1639174.1,1859951.17,0.9434751,"PagSeguro Digital Ltd.",161724358,-0.061986,-0.061986,-0.061986,0.712206,1.353515,0.590499,0.280212,-0.110012,0.005039,-0.024872,"2019-11-28",NA,48.62,1.75207048581545,NA,NA,NA
"267","PANW",-0.10194,260.63,160.08,20207866500,7014,215.64,213.45,93645299.85,2319634.5,1661014.7,-0.8671,"Palo Alto Networks, Inc.",96990000,3.664784,3.131355,1.121373,-0.10194,0.13722,-0.135513,0.016341,0.045566,-0.059623,-0.013401,"2019-12-02",NA,-240.28,1.02213027341473,NA,NA,NA
"268","PAM",-0.512003,39.89,12.01,NA,NA,28.95,24.67,75936815.9676,1410669.1,1406076.47,6.9031,"Pampa Energía SA",NA,0.840784,2.048052,-0.595833,-0.512003,-0.554354,-0.548112,-0.539559,-0.144175,-0.539702,-0.003358,"2019-11-11",NA,2.15,1.44187061426865,NA,NA,NA
"269","PHX",-0.276216,19.5,10.58,219448710,20,14.31,11.76,15905885.058,34460.2,32087.8,0.9451,"Panhandle Oil & Gas, Inc.",16389000,6.254015,-0.329658,-0.263131,-0.276216,-0.176507,-0.178023,0.005255,0.195536,0.186005,0.065235,"2019-12-09","2019-08-21",14.17,0.903394019575876,0.16,NA,0.011949215832711
"270","PARR",0.14222,23.58,13.68,1175757450,1285,18.83,22.09,50185714.74,314088.8,281646.93,1.9546,"Par Pacific Holdings, Inc.",51009000,19989,0.152155,0.187055,0.14222,0.630127,0.314139,0.199272,0.089319,0.016314,0.026269,"2019-11-11",NA,11.79,0.642796187585331,NA,NA,NA
"271","PAR",0.068072,29.77,15.22,397461760,1000,24.22,24.18,11360297.131,244591.2,256861.27,-1.6608,"PAR Technology Corp.",16343000,6.894817,4.618736,2.084928,0.068072,0.092052,0.046022,-0.148161,0.082814,-0.07211,0.063402,"2019-11-04",NA,-14.64,1.1918973236469,NA,NA,NA
"272","PGRE",-0.149072,15.69,12.18,3113689600,321,13.99,13.5,200303886.08,1272496.4,1445906.4,0.2046,"Paramount Group, Inc.",234112000,-0.19857,-0.19857,-0.087664,-0.149072,0.084829,-0.073816,-0.112742,0.001506,-0.010417,-0.008203,"2019-11-11","2019-09-27",65,0.607454632687823,0.4,"2019-09-27",0.0300751879699248
"273","PKE",-0.116452,23.3,14.88,365372360,112,17.41,17.27,19142991.148,98606,114666.47,0.5162,"Park Aerospace Corp.",20492000,0.085865,-0.403483,-0.061108,-0.116452,-0.03203,0.067026,0.157041,0.022949,-0.024617,0.046362,"2019-10-03","2019-09-30",34.54,0.473188747278943,0.4,"2019-09-30",0.0224340998317443
